clip_id,crackles,wheeze,confidence,audio_quality,notes
clip_001,none,none,high,ok,
clip_002,fine,none,high,ok,
clip_003,none,none,medium,ok,
clip_004,none,none,high,ok,
clip_005,none,none,high,ok,
clip_006,fine,none,medium,ok,
clip_007,fine,none,high,ok,
clip_008,fine,none,high,ok,
clip_009,none,none,high,ok,
clip_010,none,none,high,ok,
clip_011,fine,none,medium,ok,
clip_012,none,none,high,ok,
clip_013,none,none,high,noisy,
clip_014,none,rhonchi,high,ok,
clip_015,ambiguous,ambiguous,high,ok,
clip_016,none,none,high,ok,
clip_017,none,none,high,ok,
clip_018,none,none,high,noisy,
clip_019,none,none,high,ok,
clip_020,ambiguous,none,low,ok,
clip_021,fine,none,high,ok,
clip_022,none,none,high,,
clip_023,ambiguous,ambiguous,low,,
clip_024,none,rhonchi,high,,
clip_025,unsure,unsure,high,unusable,
clip_026,none,none,medium,noisy,
clip_027,none,none,high,ok,
clip_028,none,none,high,ok,
clip_029,none,none,high,noisy,
clip_030,,,medium,unusable,
clip_031,fine,none,high,noisy,
clip_032,none,none,high,ok,
clip_033,none,none,high,noisy,
clip_034,none,none,high,ok,
clip_035,none,none,high,ok,
clip_036,,,high,unusable,
clip_037,none,none,high,ok,
clip_038,none,none,high,ok,
clip_039,fine,none,high,ok,
clip_040,none,none,high,ok,
clip_041,none,none,high,ok,
clip_042,coarse,ambiguous,high,ok,
clip_043,none,none,high,ok,
clip_044,none,none,high,ok,
clip_045,ambiguous,none,high,ok,
clip_046,none,none,high,ok,
clip_047,,,high,unusable,
clip_048,,,high,unusable,
clip_049,,,high,unusable,
clip_050,none,none,high,ok,
clip_051,none,none,high,noisy,
clip_052,none,none,high,ok,
clip_053,coarse,none,high,ok,
clip_054,both,none,medium,ok,
clip_055,none,none,high,ok,
clip_056,none,none,high,ok,
clip_057,none,none,high,ok,
clip_058,none,none,high,ok,
clip_059,none,none,high,ok,
clip_060,none,none,high,ok,
clip_061,none,none,high,ok,
clip_062,none,none,high,ok,
clip_063,none,none,high,ok,
clip_064,none,none,high,ok,
clip_065,none,none,high,ok,
clip_066,none,none,high,ok,
clip_067,fine,none,high,ok,
clip_068,none,wheeze,medium,ok,
clip_069,none,none,high,ok,
clip_070,none,none,high,ok,
clip_071,none,none,high,ok,
clip_072,ambiguous,none,high,ok,
clip_073,fine,none,medium,ok,
clip_074,none,none,high,ok,
clip_075,none,none,high,ok,
clip_076,none,none,high,ok,
clip_077,none,none,high,ok,
clip_078,none,none,high,ok,
clip_079,fine,none,medium,ok,
clip_080,,,,unusable,
clip_081,fine,rhonchi,high,ok,
clip_082,none,none,high,ok,
clip_083,none,rhonchi,high,ok,
clip_084,none,none,medium,ok,
clip_085,fine,none,high,ok,
clip_086,none,none,high,ok,
clip_087,none,wheeze,medium,ok,
clip_088,none,wheeze,high,ok,
clip_089,none,wheeze,high,ok,
clip_090,,,high,unusable,
clip_091,none,none,high,ok,
clip_092,,,high,unusable,
clip_093,none,none,high,ok,
clip_094,none,none,high,ok,
clip_095,none,none,high,ok,
clip_096,none,rhonchi,medium,ok,
clip_097,none,none,high,ok,
clip_098,none,rhonchi,high,ok,
clip_099,none,wheeze,high,ok,
clip_100,none,none,high,ok,
clip_101,coarse,none,high,ok,
clip_102,none,rhonchi,high,ok,
clip_103,none,none,high,ok,
clip_104,,,high,unusable,
clip_105,none,none,high,ok,
clip_106,fine,none,high,ok,
clip_107,none,none,high,ok,
clip_108,,,,unusable,
clip_109,none,none,medium,ok,
clip_110,none,none,high,ok,
clip_111,none,none,high,ok,
clip_112,fine,none,high,ok,
clip_113,none,rhonchi,high,ok,
clip_114,none,rhonchi,medium,ok,
clip_115,none,none,high,ok,
clip_116,none,rhonchi,high,ok,
clip_117,ambiguous,ambiguous,medium,ok,
clip_118,fine,wheeze,high,ok,
clip_119,fine,none,medium,ok,
clip_120,none,none,high,ok,
clip_121,,,high,unusable,
clip_122,ambiguous,ambiguous,medium,ok,
clip_123,none,none,high,ok,
clip_124,,,high,unusable,
clip_125,,,high,unusable,
clip_126,none,none,medium,ok,
clip_127,,,,unusable,
clip_128,,,,unusable,
clip_129,none,none,high,ok,
clip_130,fine,none,medium,ok,
clip_131,fine,none,medium,ok,
clip_132,,,high,unusable,
